iteration,epoch,batch_in_epoch,batches_per_epoch,loss_instant,loss_running_avg
0,1,0,168,0.75264,0.75264
5,1,5,168,0.49613,0.74144
10,1,10,168,0.32879,0.58274
15,1,15,168,0.28851,0.49367
20,1,20,168,0.24148,0.44059
25,1,25,168,0.20449,0.39798
30,1,30,168,0.21629,0.36688
35,1,35,168,0.19499,0.34143
40,1,40,168,0.17136,0.32263
45,1,45,168,0.15211,0.30404
50,1,50,168,0.11149,0.28676
55,1,55,168,0.10617,0.27372
60,1,60,168,0.11787,0.26049
65,1,65,168,0.078118,0.24803
70,1,70,168,0.10517,0.23917
75,1,75,168,0.15879,0.23065
80,1,80,168,0.088535,0.2218
85,1,85,168,0.095864,0.21399
90,1,90,168,0.093088,0.20706
95,1,95,168,0.064308,0.19983
100,1,100,168,0.067244,0.19459
105,1,105,168,0.077051,0.18905
110,1,110,168,0.036352,0.18356
115,1,115,168,0.075396,0.17841
120,1,120,168,0.050023,0.1735
125,1,125,168,0.056721,0.16944
130,1,130,168,0.1041,0.1656
135,1,135,168,0.036049,0.16179
140,1,140,168,0.11692,0.15917
145,1,145,168,0.050791,0.15598
150,1,150,168,0.0511,0.15256
155,1,155,168,0.058877,0.14957
160,1,160,168,0.040749,0.14613
165,1,165,168,0.072013,0.14315
168,2,0,168,0.021698,0.14164
173,2,5,168,0.020424,0.13876
178,2,10,168,0.049383,0.13605
183,2,15,168,0.044402,0.13317
188,2,20,168,0.040051,0.13054
193,2,25,168,0.035934,0.12824
198,2,30,168,0.017607,0.12563
203,2,35,168,0.047818,0.12369
208,2,40,168,0.040334,0.12201
213,2,45,168,0.058411,0.12009
218,2,50,168,0.059576,0.11822
223,2,55,168,0.054744,0.11652
228,2,60,168,0.03684,0.1149
233,2,65,168,0.030267,0.11337
238,2,70,168,0.016396,0.11166
243,2,75,168,0.0047543,0.10996
248,2,80,168,0.041635,0.10898
253,2,85,168,0.044951,0.10747
258,2,90,168,0.039884,0.10604
263,2,95,168,0.034429,0.1046
268,2,100,168,0.019553,0.1036
273,2,105,168,0.057844,0.10238
278,2,110,168,0.028195,0.10115
283,2,115,168,0.020917,0.099893
288,2,120,168,0.040583,0.098805
293,2,125,168,0.045222,0.097938
298,2,130,168,0.059943,0.096895
303,2,135,168,0.031114,0.095812
308,2,140,168,0.011999,0.094773
313,2,145,168,0.038532,0.093765
318,2,150,168,0.02889,0.092707
323,2,155,168,0.041112,0.091633
328,2,160,168,0.017465,0.090589
333,2,165,168,0.031785,0.089603
504,4,0,168,0.011324,0.066884
509,4,5,168,0.027584,0.066331
514,4,10,168,0.0252,0.065845
