[2024-07-02 13:18:58] [PID 0] [INFO] Load config successfully!
[2024-07-02 13:18:58] [PID 0] [INFO] {'batch_size': 512,
 'ckpt_path': 'checkpoints/checkpoint_0',
 'comment': 'no comments',
 'continuous_train': False,
 'crystal_gnn_config': {'atom_fea_len': 512, 'n_conv': 3},
 'dmin': 0,
 'drop_rate': 0.25,
 'dtype': torch.float32,
 'epochs': 500,
 'experiment_name': '0',
 'figs_train': 'figs/train_0.pdf',
 'head_output_dim': 2,
 'load_pretrain': True,
 'log_batch_freq': 5,
 'log_epoch_freq': 2,
 'log_file': 'logs/out_0.log',
 'lr': 0.001,
 'lr_milestones': [100],
 'max_num_nbr': 12,
 'momentum': 0.9,
 'num_workers': 8,
 'pre_ckpt_path': 'checkpoints/pre_checkpoint_0',
 'precision': 'float32',
 'processed_dir': {'negative': 'processed_negative',
                   'positive': 'processed_positive'},
 'radius': 20,
 'random_seed': 666,
 'ratio': 711,
 'root_dir': 'data',
 'sample_size': 10,
 'save_epoch_freq': 5,
 'shuffle': True,
 'step': 0.2,
 'weight_decay': 0}
[2024-07-02 13:18:58] [PID 0] [INFO] Load data...
[2024-07-02 13:18:58] [PID 0] [INFO] Process...
[2024-07-02 13:19:35] [PID 0] [INFO] Total number of data points: 85590
[2024-07-02 13:19:35] [PID 0] [INFO] Number of batches per epoch: 168
[2024-07-02 13:19:39] [PID 0] [INFO] Train...
[2024-07-02 13:19:39] [PID 0] [INFO] Load pre-train model...
[2024-07-02 13:19:43] [PID 0] [INFO] [Train] Epoch [1/500] [0/168]	 BT 3.987 (3.987)	 DT 1.457 (1.457)	 Loss 7.5264e-01 (7.5264e-01)	
[2024-07-02 13:19:45] [PID 0] [INFO] [Train] Epoch [1/500] [5/168]	 BT 0.364 (0.978)	 DT 0.012 (0.264)	 Loss 4.9613e-01 (7.4144e-01)	
[2024-07-02 13:19:46] [PID 0] [INFO] [Train] Epoch [1/500] [10/168]	 BT 0.341 (0.695)	 DT 0.010 (0.153)	 Loss 3.2879e-01 (5.8274e-01)	
[2024-07-02 13:19:48] [PID 0] [INFO] [Train] Epoch [1/500] [15/168]	 BT 0.377 (0.589)	 DT 0.046 (0.112)	 Loss 2.8851e-01 (4.9367e-01)	
[2024-07-02 13:19:50] [PID 0] [INFO] [Train] Epoch [1/500] [20/168]	 BT 0.351 (0.530)	 DT 0.010 (0.088)	 Loss 2.4148e-01 (4.4059e-01)	
[2024-07-02 13:19:52] [PID 0] [INFO] [Train] Epoch [1/500] [25/168]	 BT 0.342 (0.494)	 DT 0.011 (0.074)	 Loss 2.0449e-01 (3.9798e-01)	
[2024-07-02 13:19:53] [PID 0] [INFO] [Train] Epoch [1/500] [30/168]	 BT 0.337 (0.470)	 DT 0.010 (0.064)	 Loss 2.1629e-01 (3.6688e-01)	
[2024-07-02 13:19:55] [PID 0] [INFO] [Train] Epoch [1/500] [35/168]	 BT 0.360 (0.454)	 DT 0.011 (0.057)	 Loss 1.9499e-01 (3.4143e-01)	
[2024-07-02 13:19:57] [PID 0] [INFO] [Train] Epoch [1/500] [40/168]	 BT 0.313 (0.440)	 DT 0.010 (0.052)	 Loss 1.7136e-01 (3.2263e-01)	
[2024-07-02 13:19:59] [PID 0] [INFO] [Train] Epoch [1/500] [45/168]	 BT 0.351 (0.430)	 DT 0.010 (0.048)	 Loss 1.5211e-01 (3.0404e-01)	
[2024-07-02 13:20:00] [PID 0] [INFO] [Train] Epoch [1/500] [50/168]	 BT 0.371 (0.422)	 DT 0.011 (0.044)	 Loss 1.1149e-01 (2.8676e-01)	
[2024-07-02 13:20:02] [PID 0] [INFO] [Train] Epoch [1/500] [55/168]	 BT 0.358 (0.417)	 DT 0.011 (0.042)	 Loss 1.0617e-01 (2.7372e-01)	
[2024-07-02 13:20:04] [PID 0] [INFO] [Train] Epoch [1/500] [60/168]	 BT 0.352 (0.411)	 DT 0.011 (0.039)	 Loss 1.1787e-01 (2.6049e-01)	
[2024-07-02 13:20:06] [PID 0] [INFO] [Train] Epoch [1/500] [65/168]	 BT 0.375 (0.406)	 DT 0.010 (0.037)	 Loss 7.8118e-02 (2.4803e-01)	
[2024-07-02 13:20:07] [PID 0] [INFO] [Train] Epoch [1/500] [70/168]	 BT 0.334 (0.401)	 DT 0.010 (0.036)	 Loss 1.0517e-01 (2.3917e-01)	
[2024-07-02 13:20:09] [PID 0] [INFO] [Train] Epoch [1/500] [75/168]	 BT 0.336 (0.398)	 DT 0.010 (0.034)	 Loss 1.5879e-01 (2.3065e-01)	
