[2024-06-28 11:06:12] [PID 0] [INFO] Load config successfully!
[2024-06-28 11:06:12] [PID 0] [INFO] {'batch_size': 64,
 'continuous_pretrain': False,
 'crystal_gnn_config': {'atom_fea_len': 512, 'n_conv': 3},
 'dmin': 0,
 'drop_rate': 0,
 'dtype': torch.float32,
 'epochs': 10,
 'experiment_name': '0',
 'figs_pretrain': 'figs/pretrain_0.pdf',
 'head_output_dim': 2,
 'log_batch_freq': 2,
 'log_epoch_freq': 1,
 'log_file': 'logs/pre_out_0.log',
 'lr': 0.001,
 'lr_milestones': [100],
 'max_num_nbr': 12,
 'momentum': 0.9,
 'num_workers': 4,
 'pre_ckpt_path': 'checkpoints/pre_checkpoint_0',
 'precision': 'float32',
 'processed_dir': {'candidate': 'processed_candidate',
                   'negative': 'processed_negative'},
 'radius': 20,
 'random_seed': 666,
 'restore_loss': 'out/loss_0.npy',
 'root_dir': 'data',
 'sample_size': 10,
 'save_epoch_freq': 1,
 'shuffle': True,
 'start_epoch': 1,
 'step': 0.2,
 'weight_decay': 0}
[2024-06-28 11:06:12] [PID 0] [INFO] Load data...
[2024-06-28 11:06:12] [PID 0] [INFO] Process...
[2024-06-28 17:36:49] [PID 0] [INFO] Process...
[2024-06-28 19:11:52] [PID 0] [INFO] Total number of data points: 66812
[2024-06-28 19:11:52] [PID 0] [INFO] Number of batches per epoch: 1044
[2024-06-28 19:11:54] [PID 0] [INFO] Pretrain...
[2024-06-28 19:12:34] [PID 0] [INFO] [Pretrain] Epoch [1/10] [0/1044]	 BT 39.373 (39.373)	 DT 1.009 (1.009)	 Loss 1.3336e-01 (1.3336e-01)	 [Save]
[2024-06-28 19:13:21] [PID 0] [INFO] [Pretrain] Epoch [1/10] [2/1044]	 BT 26.635 (28.933)	 DT 0.002 (0.343)	 Loss 8.4050e-02 (1.0510e-01)	 [Save]
[2024-06-28 19:14:23] [PID 0] [INFO] [Pretrain] Epoch [1/10] [4/1044]	 BT 29.322 (29.701)	 DT 0.002 (0.210)	 Loss 6.9582e-02 (9.2659e-02)	 [Save]
[2024-06-28 19:15:23] [PID 0] [INFO] [Pretrain] Epoch [1/10] [6/1044]	 BT 28.432 (29.833)	 DT 0.002 (0.153)	 Loss 6.2890e-02 (8.4397e-02)	 [Save]
[2024-06-28 19:16:21] [PID 0] [INFO] [Pretrain] Epoch [1/10] [8/1044]	 BT 28.844 (29.639)	 DT 0.002 (0.127)	 Loss 5.6127e-02 (7.8137e-02)	 [Save]
[2024-06-28 19:17:32] [PID 0] [INFO] [Pretrain] Epoch [1/10] [10/1044]	 BT 37.535 (30.725)	 DT 0.002 (0.106)	 Loss 4.8035e-02 (7.2750e-02)	 [Save]
[2024-06-28 19:18:39] [PID 0] [INFO] [Pretrain] Epoch [1/10] [12/1044]	 BT 32.143 (31.117)	 DT 0.002 (0.091)	 Loss 4.1134e-02 (6.8233e-02)	 [Save]
[2024-06-28 19:19:41] [PID 0] [INFO] [Pretrain] Epoch [1/10] [14/1044]	 BT 28.141 (31.084)	 DT 0.002 (0.080)	 Loss 4.0280e-02 (6.4433e-02)	 [Save]
[2024-06-28 19:20:41] [PID 0] [INFO] [Pretrain] Epoch [1/10] [16/1044]	 BT 30.897 (31.004)	 DT 0.002 (0.072)	 Loss 3.3974e-02 (6.1127e-02)	 [Save]
[2024-06-28 19:21:43] [PID 0] [INFO] [Pretrain] Epoch [1/10] [18/1044]	 BT 25.212 (30.984)	 DT 0.002 (0.066)	 Loss 3.4250e-02 (5.8580e-02)	 [Save]
[2024-06-28 19:22:40] [PID 0] [INFO] [Pretrain] Epoch [1/10] [20/1044]	 BT 28.123 (30.752)	 DT 0.002 (0.061)	 Loss 3.2449e-02 (5.6106e-02)	 [Save]
[2024-06-28 19:23:42] [PID 0] [INFO] [Pretrain] Epoch [1/10] [22/1044]	 BT 23.797 (30.744)	 DT 0.002 (0.056)	 Loss 3.1248e-02 (5.4097e-02)	 [Save]
[2024-06-28 19:24:43] [PID 0] [INFO] [Pretrain] Epoch [1/10] [24/1044]	 BT 26.985 (30.749)	 DT 0.002 (0.053)	 Loss 2.8155e-02 (5.2281e-02)	 [Save]
[2024-06-28 19:25:46] [PID 0] [INFO] [Pretrain] Epoch [1/10] [26/1044]	 BT 32.972 (30.798)	 DT 0.002 (0.050)	 Loss 3.0470e-02 (5.0599e-02)	 [Save]
[2024-06-28 19:26:56] [PID 0] [INFO] [Pretrain] Epoch [1/10] [28/1044]	 BT 35.841 (31.076)	 DT 0.002 (0.047)	 Loss 2.6032e-02 (4.9013e-02)	 [Save]
[2024-06-28 19:28:01] [PID 0] [INFO] [Pretrain] Epoch [1/10] [30/1044]	 BT 33.528 (31.193)	 DT 0.002 (0.044)	 Loss 2.4672e-02 (4.7365e-02)	 [Save]
[2024-06-28 19:29:07] [PID 0] [INFO] [Pretrain] Epoch [1/10] [32/1044]	 BT 31.950 (31.287)	 DT 0.002 (0.042)	 Loss 2.5231e-02 (4.6028e-02)	 [Save]
[2024-06-28 19:30:01] [PID 0] [INFO] [Pretrain] Epoch [1/10] [34/1044]	 BT 27.668 (31.059)	 DT 0.010 (0.041)	 Loss 2.3547e-02 (4.4714e-02)	 [Save]
[2024-06-28 19:31:02] [PID 0] [INFO] [Pretrain] Epoch [1/10] [36/1044]	 BT 32.240 (31.021)	 DT 0.002 (0.039)	 Loss 2.3212e-02 (4.3499e-02)	 [Save]
[2024-06-28 19:31:57] [PID 0] [INFO] [Pretrain] Epoch [1/10] [38/1044]	 BT 24.304 (30.836)	 DT 0.002 (0.038)	 Loss 2.3507e-02 (4.2411e-02)	 [Save]
[2024-06-28 19:32:57] [PID 0] [INFO] [Pretrain] Epoch [1/10] [40/1044]	 BT 29.254 (30.804)	 DT 0.002 (0.036)	 Loss 1.8703e-02 (4.1355e-02)	 [Save]
[2024-06-28 19:33:54] [PID 0] [INFO] [Pretrain] Epoch [1/10] [42/1044]	 BT 34.171 (30.697)	 DT 0.002 (0.035)	 Loss 1.8141e-02 (4.0305e-02)	 [Save]
[2024-06-28 19:35:06] [PID 0] [INFO] [Pretrain] Epoch [1/10] [44/1044]	 BT 36.012 (30.920)	 DT 0.002 (0.034)	 Loss 2.1080e-02 (3.9348e-02)	 [Save]
[2024-06-28 19:36:05] [PID 0] [INFO] [Pretrain] Epoch [1/10] [46/1044]	 BT 32.176 (30.874)	 DT 0.002 (0.033)	 Loss 1.5967e-02 (3.8409e-02)	 [Save]
[2024-06-28 19:37:02] [PID 0] [INFO] [Pretrain] Epoch [1/10] [48/1044]	 BT 28.658 (30.770)	 DT 0.002 (0.032)	 Loss 1.7285e-02 (3.7589e-02)	 [Save]
[2024-06-28 19:38:17] [PID 0] [INFO] [Pretrain] Epoch [1/10] [50/1044]	 BT 40.105 (31.022)	 DT 0.002 (0.031)	 Loss 1.8726e-02 (3.6883e-02)	 [Save]
[2024-06-28 19:39:22] [PID 0] [INFO] [Pretrain] Epoch [1/10] [52/1044]	 BT 35.525 (31.087)	 DT 0.002 (0.030)	 Loss 1.5250e-02 (3.6121e-02)	 [Save]
[2024-06-28 19:40:27] [PID 0] [INFO] [Pretrain] Epoch [1/10] [54/1044]	 BT 26.018 (31.130)	 DT 0.002 (0.030)	 Loss 1.3954e-02 (3.5377e-02)	 [Save]
[2024-06-28 19:41:25] [PID 0] [INFO] [Pretrain] Epoch [1/10] [56/1044]	 BT 31.086 (31.067)	 DT 0.002 (0.029)	 Loss 1.3737e-02 (3.4633e-02)	 [Save]
[2024-06-28 19:42:29] [PID 0] [INFO] [Pretrain] Epoch [1/10] [58/1044]	 BT 27.922 (31.103)	 DT 0.002 (0.028)	 Loss 1.6789e-02 (3.4008e-02)	 [Save]
[2024-06-28 19:43:43] [PID 0] [INFO] [Pretrain] Epoch [1/10] [60/1044]	 BT 35.203 (31.280)	 DT 0.002 (0.028)	 Loss 1.4761e-02 (3.3415e-02)	 [Save]
[2024-06-28 19:44:45] [PID 0] [INFO] [Pretrain] Epoch [1/10] [62/1044]	 BT 33.303 (31.279)	 DT 0.002 (0.027)	 Loss 1.4590e-02 (3.2788e-02)	 [Save]
[2024-06-28 19:45:47] [PID 0] [INFO] [Pretrain] Epoch [1/10] [64/1044]	 BT 29.227 (31.276)	 DT 0.002 (0.027)	 Loss 1.4209e-02 (3.2205e-02)	 [Save]
[2024-06-28 19:46:45] [PID 0] [INFO] [Pretrain] Epoch [1/10] [66/1044]	 BT 31.470 (31.204)	 DT 0.002 (0.026)	 Loss 1.3290e-02 (3.1659e-02)	 [Save]
[2024-06-28 19:47:38] [PID 0] [INFO] [Pretrain] Epoch [1/10] [68/1044]	 BT 26.612 (31.066)	 DT 0.002 (0.026)	 Loss 1.3865e-02 (3.1172e-02)	 [Save]
[2024-06-28 19:48:39] [PID 0] [INFO] [Pretrain] Epoch [1/10] [70/1044]	 BT 31.279 (31.051)	 DT 0.002 (0.025)	 Loss 1.4654e-02 (3.0686e-02)	 [Save]
[2024-06-28 19:49:39] [PID 0] [INFO] [Pretrain] Epoch [1/10] [72/1044]	 BT 33.604 (31.024)	 DT 0.002 (0.025)	 Loss 1.2711e-02 (3.0206e-02)	 [Save]
[2024-06-28 19:50:41] [PID 0] [INFO] [Pretrain] Epoch [1/10] [74/1044]	 BT 28.836 (31.015)	 DT 0.002 (0.025)	 Loss 1.1235e-02 (2.9720e-02)	 [Save]
[2024-06-28 19:51:42] [PID 0] [INFO] [Pretrain] Epoch [1/10] [76/1044]	 BT 33.571 (31.012)	 DT 0.002 (0.024)	 Loss 1.3287e-02 (2.9328e-02)	 [Save]
[2024-06-28 19:52:39] [PID 0] [INFO] [Pretrain] Epoch [1/10] [78/1044]	 BT 27.058 (30.949)	 DT 0.002 (0.024)	 Loss 1.0983e-02 (2.8892e-02)	 [Save]
[2024-06-28 19:53:40] [PID 0] [INFO] [Pretrain] Epoch [1/10] [80/1044]	 BT 29.367 (30.934)	 DT 0.002 (0.024)	 Loss 1.2038e-02 (2.8472e-02)	 [Save]
[2024-06-28 19:54:42] [PID 0] [INFO] [Pretrain] Epoch [1/10] [82/1044]	 BT 32.338 (30.930)	 DT 0.002 (0.023)	 Loss 1.0173e-02 (2.8045e-02)	 [Save]
[2024-06-28 19:55:51] [PID 0] [INFO] [Pretrain] Epoch [1/10] [84/1044]	 BT 31.531 (31.019)	 DT 0.002 (0.023)	 Loss 9.4961e-03 (2.7625e-02)	 [Save]
[2024-06-28 19:56:54] [PID 0] [INFO] [Pretrain] Epoch [1/10] [86/1044]	 BT 26.617 (31.033)	 DT 0.002 (0.023)	 Loss 1.1860e-02 (2.7333e-02)	 [Save]
[2024-06-28 19:57:53] [PID 0] [INFO] [Pretrain] Epoch [1/10] [88/1044]	 BT 28.269 (30.994)	 DT 0.002 (0.022)	 Loss 1.0632e-02 (2.6944e-02)	 [Save]
[2024-06-28 19:59:04] [PID 0] [INFO] [Pretrain] Epoch [1/10] [90/1044]	 BT 38.420 (31.098)	 DT 0.002 (0.022)	 Loss 9.8353e-03 (2.6579e-02)	 [Save]
[2024-06-28 20:00:03] [PID 0] [INFO] [Pretrain] Epoch [1/10] [92/1044]	 BT 26.043 (31.063)	 DT 0.002 (0.022)	 Loss 1.2195e-02 (2.6252e-02)	 [Save]
[2024-06-28 20:01:03] [PID 0] [INFO] [Pretrain] Epoch [1/10] [94/1044]	 BT 29.112 (31.037)	 DT 0.002 (0.022)	 Loss 8.8386e-03 (2.5900e-02)	 [Save]
[2024-06-28 20:02:07] [PID 0] [INFO] [Pretrain] Epoch [1/10] [96/1044]	 BT 31.197 (31.060)	 DT 0.002 (0.021)	 Loss 8.9806e-03 (2.5555e-02)	 [Save]
[2024-06-28 20:03:14] [PID 0] [INFO] [Pretrain] Epoch [1/10] [98/1044]	 BT 39.796 (31.109)	 DT 0.002 (0.021)	 Loss 9.0141e-03 (2.5238e-02)	 [Save]
[2024-06-28 20:04:22] [PID 0] [INFO] [Pretrain] Epoch [1/10] [100/1044]	 BT 36.268 (31.163)	 DT 0.002 (0.021)	 Loss 8.1135e-03 (2.4919e-02)	 [Save]
[2024-06-28 20:05:27] [PID 0] [INFO] [Pretrain] Epoch [1/10] [102/1044]	 BT 36.511 (31.193)	 DT 0.002 (0.021)	 Loss 1.1069e-02 (2.4626e-02)	 [Save]
[2024-06-28 20:06:27] [PID 0] [INFO] [Pretrain] Epoch [1/10] [104/1044]	 BT 25.540 (31.167)	 DT 0.002 (0.021)	 Loss 1.0132e-02 (2.4350e-02)	 [Save]
[2024-06-28 20:07:30] [PID 0] [INFO] [Pretrain] Epoch [1/10] [106/1044]	 BT 32.571 (31.173)	 DT 0.002 (0.020)	 Loss 8.9336e-03 (2.4050e-02)	 [Save]
[2024-06-28 20:08:26] [PID 0] [INFO] [Pretrain] Epoch [1/10] [108/1044]	 BT 26.451 (31.112)	 DT 0.002 (0.020)	 Loss 9.2244e-03 (2.3764e-02)	 [Save]
[2024-06-28 20:09:38] [PID 0] [INFO] [Pretrain] Epoch [1/10] [110/1044]	 BT 37.892 (31.199)	 DT 0.002 (0.020)	 Loss 9.0065e-03 (2.3501e-02)	 [Save]
[2024-06-28 20:10:39] [PID 0] [INFO] [Pretrain] Epoch [1/10] [112/1044]	 BT 27.760 (31.190)	 DT 0.002 (0.020)	 Loss 7.0152e-03 (2.3213e-02)	 [Save]
[2024-06-28 20:11:41] [PID 0] [INFO] [Pretrain] Epoch [1/10] [114/1044]	 BT 29.435 (31.186)	 DT 0.002 (0.020)	 Loss 6.8607e-03 (2.2936e-02)	 [Save]
[2024-06-28 20:12:38] [PID 0] [INFO] [Pretrain] Epoch [1/10] [116/1044]	 BT 30.567 (31.144)	 DT 0.002 (0.020)	 Loss 7.1331e-03 (2.2678e-02)	 [Save]
[2024-06-28 20:13:37] [PID 0] [INFO] [Pretrain] Epoch [1/10] [118/1044]	 BT 31.663 (31.116)	 DT 0.002 (0.019)	 Loss 7.4553e-03 (2.2422e-02)	 [Save]
[2024-06-28 20:14:46] [PID 0] [INFO] [Pretrain] Epoch [1/10] [120/1044]	 BT 35.283 (31.171)	 DT 0.002 (0.019)	 Loss 8.4858e-03 (2.2180e-02)	 [Save]
[2024-06-28 20:15:45] [PID 0] [INFO] [Pretrain] Epoch [1/10] [122/1044]	 BT 28.821 (31.140)	 DT 0.002 (0.019)	 Loss 8.5183e-03 (2.1942e-02)	 [Save]
[2024-06-28 20:16:44] [PID 0] [INFO] [Pretrain] Epoch [1/10] [124/1044]	 BT 28.996 (31.118)	 DT 0.002 (0.020)	 Loss 7.3952e-03 (2.1719e-02)	 [Save]
[2024-06-28 20:17:42] [PID 0] [INFO] [Pretrain] Epoch [1/10] [126/1044]	 BT 30.065 (31.081)	 DT 0.002 (0.019)	 Loss 7.1240e-03 (2.1494e-02)	 [Save]
[2024-06-28 20:18:42] [PID 0] [INFO] [Pretrain] Epoch [1/10] [128/1044]	 BT 32.751 (31.069)	 DT 0.002 (0.019)	 Loss 7.0082e-03 (2.1273e-02)	 [Save]
[2024-06-28 20:19:53] [PID 0] [INFO] [Pretrain] Epoch [1/10] [130/1044]	 BT 38.873 (31.133)	 DT 0.002 (0.019)	 Loss 1.0084e-02 (2.1070e-02)	 [Save]
[2024-06-28 20:20:48] [PID 0] [INFO] [Pretrain] Epoch [1/10] [132/1044]	 BT 27.256 (31.076)	 DT 0.002 (0.019)	 Loss 6.3728e-03 (2.0857e-02)	 [Save]
[2024-06-28 20:21:51] [PID 0] [INFO] [Pretrain] Epoch [1/10] [134/1044]	 BT 34.385 (31.089)	 DT 0.002 (0.020)	 Loss 6.5799e-03 (2.0651e-02)	 [Save]
[2024-06-28 20:22:47] [PID 0] [INFO] [Pretrain] Epoch [1/10] [136/1044]	 BT 29.815 (31.043)	 DT 0.002 (0.020)	 Loss 6.7988e-03 (2.0452e-02)	 [Save]
[2024-06-28 20:23:48] [PID 0] [INFO] [Pretrain] Epoch [1/10] [138/1044]	 BT 26.962 (31.031)	 DT 0.002 (0.020)	 Loss 5.9658e-03 (2.0251e-02)	 [Save]
[2024-06-28 20:24:51] [PID 0] [INFO] [Pretrain] Epoch [1/10] [140/1044]	 BT 29.105 (31.039)	 DT 0.002 (0.019)	 Loss 6.4609e-03 (2.0073e-02)	 [Save]
[2024-06-28 20:25:51] [PID 0] [INFO] [Pretrain] Epoch [1/10] [142/1044]	 BT 27.624 (31.023)	 DT 0.002 (0.019)	 Loss 6.6485e-03 (1.9894e-02)	 [Save]
[2024-06-28 20:26:55] [PID 0] [INFO] [Pretrain] Epoch [1/10] [144/1044]	 BT 34.307 (31.039)	 DT 0.002 (0.019)	 Loss 6.2775e-03 (1.9715e-02)	 [Save]
[2024-06-28 20:27:59] [PID 0] [INFO] [Pretrain] Epoch [1/10] [146/1044]	 BT 30.264 (31.051)	 DT 0.002 (0.019)	 Loss 5.7737e-03 (1.9529e-02)	 [Save]
[2024-06-28 20:29:01] [PID 0] [INFO] [Pretrain] Epoch [1/10] [148/1044]	 BT 35.639 (31.054)	 DT 0.002 (0.019)	 Loss 5.7320e-03 (1.9345e-02)	 [Save]
[2024-06-28 20:30:11] [PID 0] [INFO] [Pretrain] Epoch [1/10] [150/1044]	 BT 28.540 (31.106)	 DT 0.002 (0.019)	 Loss 5.9106e-03 (1.9191e-02)	 [Save]
[2024-06-28 20:31:14] [PID 0] [INFO] [Pretrain] Epoch [1/10] [152/1044]	 BT 33.746 (31.105)	 DT 0.002 (0.019)	 Loss 8.7270e-03 (1.9047e-02)	 [Save]
[2024-06-28 20:32:16] [PID 0] [INFO] [Pretrain] Epoch [1/10] [154/1044]	 BT 28.448 (31.108)	 DT 0.002 (0.019)	 Loss 8.3820e-03 (1.8903e-02)	 [Save]
[2024-06-28 20:33:13] [PID 0] [INFO] [Pretrain] Epoch [1/10] [156/1044]	 BT 26.798 (31.074)	 DT 0.002 (0.019)	 Loss 6.2388e-03 (1.8741e-02)	 [Save]
[2024-06-28 20:34:22] [PID 0] [INFO] [Pretrain] Epoch [1/10] [158/1044]	 BT 39.689 (31.117)	 DT 0.002 (0.019)	 Loss 7.4318e-03 (1.8589e-02)	 [Save]
[2024-06-28 20:35:29] [PID 0] [INFO] [Pretrain] Epoch [1/10] [160/1044]	 BT 32.831 (31.146)	 DT 0.002 (0.019)	 Loss 5.7636e-03 (1.8428e-02)	 [Save]
[2024-06-28 20:36:30] [PID 0] [INFO] [Pretrain] Epoch [1/10] [162/1044]	 BT 31.240 (31.137)	 DT 0.002 (0.019)	 Loss 6.3406e-03 (1.8281e-02)	 [Save]
[2024-06-28 20:37:40] [PID 0] [INFO] [Pretrain] Epoch [1/10] [164/1044]	 BT 31.939 (31.185)	 DT 0.002 (0.019)	 Loss 7.2429e-03 (1.8174e-02)	 [Save]
[2024-06-28 20:38:40] [PID 0] [INFO] [Pretrain] Epoch [1/10] [166/1044]	 BT 35.844 (31.172)	 DT 0.002 (0.018)	 Loss 7.3593e-03 (1.8038e-02)	 [Save]
[2024-06-28 20:39:37] [PID 0] [INFO] [Pretrain] Epoch [1/10] [168/1044]	 BT 27.109 (31.140)	 DT 0.002 (0.018)	 Loss 6.1975e-03 (1.7897e-02)	 [Save]
[2024-06-28 20:40:31] [PID 0] [INFO] [Pretrain] Epoch [1/10] [170/1044]	 BT 29.998 (31.090)	 DT 0.002 (0.018)	 Loss 9.7092e-03 (1.7781e-02)	 [Save]
